value,createdAt
18.44,2019-09-05T12:19:30.000Z
18.44,2019-09-05T12:19:00.000Z
18.41,2019-09-05T12:18:29.000Z
18.41,2019-09-05T12:17:59.000Z
18.41,2019-09-05T12:17:29.000Z
18.43,2019-09-05T12:16:59.000Z
18.41,2019-09-05T12:16:29.000Z
18.41,2019-09-05T12:15:59.000Z
18.43,2019-09-05T12:15:29.000Z
18.41,2019-09-05T12:14:59.000Z
18.43,2019-09-05T12:14:29.000Z
18.43,2019-09-05T12:13:58.000Z
18.43,2019-09-05T12:13:28.000Z
18.43,2019-09-05T12:12:58.000Z
18.41,2019-09-05T12:12:28.000Z
18.41,2019-09-05T12:11:58.000Z
18.41,2019-09-05T12:11:28.000Z
18.41,2019-09-05T12:10:58.000Z
18.41,2019-09-05T12:10:28.000Z
18.41,2019-09-05T12:09:58.000Z
18.41,2019-09-05T12:09:27.000Z
18.41,2019-09-05T12:08:57.000Z
18.41,2019-09-05T12:08:27.000Z
18.40,2019-09-05T12:07:57.000Z
18.41,2019-09-05T12:07:27.000Z
18.40,2019-09-05T12:06:57.000Z
18.38,2019-09-05T12:06:27.000Z
18.40,2019-09-05T12:05:57.000Z
18.38,2019-09-05T12:05:27.000Z
18.38,2019-09-05T12:04:56.000Z
18.40,2019-09-05T12:04:26.000Z
18.38,2019-09-05T12:03:56.000Z
18.38,2019-09-05T12:03:26.000Z
18.38,2019-09-05T12:02:56.000Z
18.38,2019-09-05T12:02:26.000Z
18.38,2019-09-05T12:01:56.000Z
18.38,2019-09-05T12:01:26.000Z
18.37,2019-09-05T12:00:56.000Z
18.38,2019-09-05T12:00:25.000Z
18.35,2019-09-05T11:59:55.000Z
18.37,2019-09-05T11:59:25.000Z
18.37,2019-09-05T11:58:55.000Z
18.35,2019-09-05T11:58:25.000Z
18.35,2019-09-05T11:57:55.000Z
18.35,2019-09-05T11:57:25.000Z
